East Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1965   24     1941    0.17304
1965   24     1940    0.16727
1965   25     1940    0.16356
1965   25     1939    0.15503
1965   26     1939    0.15047
1965   26     1938    0.14078
1965   27     1938    0.13615
1965   27     1937    0.12729
1965   28     1937    0.12276
1965   28     1936    0.11363
1965   29     1936    0.10924
1965   29     1935    0.10047
1965   30     1935    0.09690
1965   30     1934    0.09118
1965   31     1934    0.08781
1965   31     1933    0.08046
1965   32     1933    0.07693
1965   32     1932    0.06989
1965   33     1932    0.06671
1965   33     1931    0.06083
1965   34     1931    0.05792
1965   34     1930    0.05229
1965   35     1930    0.04935
1965   35     1929    0.04323
1965   36     1929    0.04072
1965   36     1928    0.03640
1965   37     1928    0.03430
1965   37     1927    0.03026
1965   38     1927    0.02828
1965   38     1926    0.02436
1965   39     1926    0.02264
1965   39     1925    0.01957
1965   40     1925    0.01785
1965   40     1924    0.01437
1965   41     1924    0.01275
1965   41     1923    0.00976
1965   42     1923    0.00857
1965   42     1922    0.00663
1965   43     1922    0.00561
1965   43     1921    0.00374
1965   44     1921    0.00310
1965   44     1920    0.00220
1965   45     1920    0.00164
1965   45     1919    0.00077
1965   46     1919    0.00058
1965   46     1918    0.00037
1965   47     1918    0.00030
1965   47     1917    0.00019
1965   48     1917    0.00015
1965   48     1916    0.00010
1965   49     1916    0.00008
1965   49     1915    0.00005
1965   50     1915    0.00004
1965   50     1914    0.00003
1965   51     1914    0.00002
1965   51     1913    0.00002
1965   52     1913    0.00001
1965   52     1912    0.00001
1965   53     1912    0.00001
1965   53     1911    0.00000
1965   54     1911    0.00000
1965   54     1910    0.00000
1965   55+       .    0.00000
1966   12-       .    0.00000
1966   13     1953    0.00000
1966   13     1952    0.00000
1966   14     1952    0.00000
1966   14     1951    0.00017
1966   15     1951    0.00117
1966   15     1950    0.00362
1966   16     1950    0.00552
1966   16     1949    0.01859
1966   17     1949    0.02956
1966   17     1948    0.05904
1966   18     1948    0.07829
1966   18     1947    0.12249
1966   19     1947    0.14389
1966   19     1946    0.17593
1966   20     1946    0.18620
1966   20     1945    0.19251
1966   21     1945    0.19349
1966   21     1944    0.19250
1966   22     1944    0.19056
1966   22     1943    0.18584
1966   23     1943    0.18265
1966   23     1942    0.17598
1966   24     1942    0.17184
1966   24     1941    0.16229
1966   25     1941    0.15842
1966   25     1940    0.15266
1966   26     1940    0.14875
1966   26     1939    0.13979
1966   27     1939    0.13491
1966   27     1938    0.12448
1966   28     1938    0.11930
1966   28     1937    0.10852
1966   29     1937    0.10451
1966   29     1936    0.09892
1966   30     1936    0.09510
1966   30     1935    0.08604
1966   31     1935    0.08242
1966   31     1934    0.07632
1966   32     1934    0.07325
1966   32     1933    0.06716
1966   33     1933    0.06434
1966   33     1932    0.05905
1966   34     1932    0.05631
1966   34     1931    0.05071
1966   35     1931    0.04795
1966   35     1930    0.04248
1966   36     1930    0.03979
1966   36     1929    0.03440
1966   37     1929    0.03221
1966   37     1928    0.02856
1966   38     1928    0.02642
1966   38     1927    0.02183
1966   39     1927    0.02007
1966   39     1926    0.01731
1966   40     1926    0.01537
1966   40     1925    0.01123
1966   41     1925    0.00977
1966   41     1924    0.00752
1966   42     1924    0.00644
1966   42     1923    0.00455
1966   43     1923    0.00385
1966   43     1922    0.00277
1966   44     1922    0.00223
1966   44     1921    0.00137
1966   45     1921    0.00104
1966   45     1920    0.00055
1966   46     1920    0.00044
1966   46     1919    0.00030
1966   47     1919    0.00025
1966   47     1918    0.00016
1966   48     1918    0.00013
1966   48     1917    0.00009
1966   49     1917    0.00007
1966   49     1916    0.00005
1966   50     1916    0.00004
1966   50     1915    0.00003
1966   51     1915    0.00002
1966   51     1914    0.00001
1966   52     1914    0.00001
1966   52     1913    0.00001
