West Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1978     42     1936       449543.33
1978     43     1935       440078.17
1978     44     1934       414367.17
1978     45     1933       341448.83
1978     46     1932       347745.67
1978     47     1931       359464.67
1978     48     1930       386381.50
1978     49     1929       380795.50
1978     50     1928       388175.67
1978     51     1927       379664.33
1978     52     1926       396351.67
1978     53     1925       414182.17
1978     54     1924       406734.33
1978     55     1923       406492.50
1979     12     1967       252311.54
1979     13     1966       506749.65
1979     14     1965       507553.75
1979     15     1964       518317.88
1979     16     1963       512733.63
1979     17     1962       494605.54
1979     18     1961       492663.42
1979     19     1960       480537.03
1979     20     1959       467137.37
1979     21     1958       448052.63
1979     22     1957       440917.33
1979     23     1956       430766.90
1979     24     1955       418508.04
1979     25     1954       426757.29
1979     26     1953       415339.40
1979     27     1952       421269.13
1979     28     1951       413474.08
1979     29     1950       425721.84
1979     30     1949       421872.86
1979     31     1948       402315.72
1979     32     1947       380072.30
1979     33     1946       351102.72
1979     34     1945       303455.17
1979     35     1944       396608.33
1979     36     1943       402795.33
1979     37     1942       393470.50
1979     38     1941       476192.17
1979     39     1940       514757.33
1979     40     1939       508413.33
1979     41     1938       480571.00
1979     42     1937       453224.17
1979     43     1936       449396.67
1979     44     1935       439713.33
1979     45     1934       413874.00
1979     46     1933       341094.17
